,no_bhk,price,area,cons_stats
0,3 ,6598000,1571,3
1,4 ,14800000,1930,3
2,4 ,29900000,4157,3
3,4 ,40800000,3400,3
4,4 ,17500000,3183,3
5,4 ,14000000,2701,3
6,4 ,35200000,4706,3
7,4 ,43099999,5080,3
8,3 ,14200000,2150,3
9,0,6300000,3150,0
10,2 ,7334000,1310,3
11,3 ,16500000,2550,3
12,3 ,11399999,2155,3
13,3 ,10800000,1965,3
14,3 ,9494000,1775,3
15,3 ,7473000,1410,3
16,2 ,8515000,1310,3
17,3 ,14400000,1905,3
18,2 ,6820999,1312,3
19,2 ,5685000,1210,3
20,3 ,13400000,2200,3
21,3 ,10200000,1902,3
22,3 ,10000000,1670,3
23,3 ,10900000,2187,3
24,3 ,8000000,1047,1
25,4 ,40900000,6300,3
26,3 ,9984000,1636,3
27,0,4899000,2403,0
28,3 ,5787000,1378,3
29,4 ,16399999,2130,3
30,4 ,32599999,4540,3
31,4 ,40800000,3400,3
32,4 ,17500000,3183,3
33,4 ,15900000,3060,3
34,3 ,17600000,2350,3
35,4 ,43099999,5080,3
36,3 ,13000000,1965,3
37,0,7200000,3600,0
38,2 ,7334000,1310,3
39,3 ,13200000,2040,3
40,3 ,11399999,2155,3
41,3 ,10800000,1965,3
42,3 ,9494000,1775,3
43,2 ,5035000,950,3
44,3 ,15200000,2345,3
45,3 ,14400000,1905,3
46,2 ,6820999,1312,3
47,3 ,6931000,1475,3
48,3 ,13300000,2195,3
49,2 ,8154000,1510,3
50,3 ,14800000,2485,3
51,2 ,5083000,1017,3
52,1 ,4800000,610,1
53,4 ,40900000,6300,3
54,3 ,9423000,1509,3
55,0,9781000,4797,0
56,2 ,4687000,1116,3
57,4 ,17700000,2300,3
58,4 ,32500000,4524,3
59,4 ,45199999,3770,3
60,4 ,27700000,5037,3
61,4 ,35200000,4706,3
62,3 ,17300000,2040,3
63,3 ,14200000,2150,3
64,0,3600000,1800,0
65,2 ,7334000,1310,3
66,3 ,15500000,2385,3
67,3 ,13000000,2455,3
68,3 ,10400000,1900,3
69,2 ,6926000,1295,3
70,2 ,4982000,940,3
71,3 ,9977000,1535,3
72,3 ,12900000,1710,3
73,3 ,9581000,1843,3
74,3 ,12900000,2130,3
75,3 ,10200000,1900,3
76,2 ,8086000,1350,3
77,2 ,5893000,1179,3
78,3 ,9499000,1315,1
79,3 ,20800000,3200,3
80,3 ,8935000,1451,3
81,0,4899000,2403,0
82,0,2960000,1665,0
83,2 ,6781999,1280,3
84,2 ,5600000,1100,1
85,3 ,15400000,2150,3
86,2 ,3800000,1090,3
87,3 ,4700000,1080,1
88,2 ,6500000,918,3
89,3 ,7950000,1600,1
90,3 ,10300000,1885,3
91,3 ,8175000,1635,1
92,3 ,7500000,600,1
93,4 ,7500000,2000,3
94,4 ,30000000,3161,3
95,4 ,24600000,2695,1
96,2 ,4178000,1100,3
97,3 ,9555000,2100,3
98,0,4000000,2250,2
99,0,1125000,1350,2
100,3 ,6241000,1486,3
101,3 ,6694000,1594,3
102,4 ,16100000,2100,3
103,0,2720000,1530,0
104,0,4000000,2250,0
105,0,7500000,2700,0
106,0,6250000,2250,0
107,0,5625000,2025,0
108,0,5000000,1800,0
109,0,4250000,1530,0
110,0,4125000,1485,0
111,0,5000000,1800,0
112,0,2800000,1575,0
113,4 ,26200000,3652,3
114,4 ,33300000,4635,3
115,4 ,30400000,4227,3
116,4 ,30200000,4207,3
117,4 ,32000000,4448,3
118,4 ,45199999,3770,3
119,4 ,40800000,3400,3
120,4 ,40800000,3400,3
121,4 ,45199999,3770,3
122,4 ,45199999,3770,3
123,4 ,37100000,3095,3
124,4 ,37100000,3095,3
125,4 ,45800000,3820,3
126,4 ,45800000,3820,3
127,4 ,44100000,3675,3
128,4 ,44100000,3675,3
129,4 ,36900000,3075,3
130,4 ,36900000,3075,3
131,4 ,46300000,3865,3
132,4 ,46300000,3865,3
133,4 ,27700000,5037,3
134,4 ,17500000,3183,3
135,4 ,17500000,3183,3
136,4 ,27700000,5037,3
137,4 ,27700000,5037,3
138,4 ,17400000,3180,3
139,4 ,17400000,3180,3
140,4 ,25299999,4614,3
141,4 ,25299999,4614,3
142,4 ,22900000,4164,3
143,4 ,22900000,4164,3
144,4 ,22799999,4161,3
145,4 ,22799999,4161,3
146,3 ,6097000,1355,3
147,2 ,5062000,1125,3
148,0,4800000,2700,0
149,0,3120000,1755,0
150,0,2880000,1620,0
151,0,4875000,1755,0
152,0,4750000,1710,0
153,0,4625000,1665,0
154,0,4500000,1620,0
155,0,4375000,1575,0
156,0,4000000,1440,0
157,0,4075000,1467,0
158,0,4075000,1467,0
159,0,3040000,1710,0
160,0,3600000,2025,0
161,0,2608000,1467,0
162,3 ,13600000,1825,3
163,4 ,35200000,4706,3
164,4 ,35200000,4706,3
165,3 ,17600000,2350,3
166,3 ,17600000,2350,3
167,3 ,13600000,1825,3
168,3 ,13600000,1825,3
169,3 ,11900000,1600,3
170,3 ,11900000,1600,3
171,3 ,13700000,1840,3
172,3 ,13700000,1840,3
173,4 ,26500000,3400,3
174,4 ,26500000,3400,3
175,4 ,26500000,3400,3
176,4 ,26500000,3400,3
177,4 ,23400000,3000,3
178,4 ,23400000,3000,3
179,3 ,14000000,1800,3
180,3 ,14000000,1800,3
181,3 ,13200000,1700,3
182,3 ,13200000,1700,3
183,3 ,11700000,1500,3
184,3 ,11700000,1500,3
185,2 ,9360000,1200,3
186,2 ,9360000,1200,3
187,2 ,8580000,1100,3
188,2 ,8580000,1100,3
189,4 ,28000000,3600,3
190,4 ,28000000,3600,3
191,2 ,6781999,1280,3
192,3 ,17300000,2040,3
193,4 ,34600000,4080,3
194,4 ,34600000,4080,3
195,3 ,20299999,2400,3
196,3 ,20299999,2400,3
197,4 ,28400000,3342,3
198,4 ,28400000,3342,3
199,3 ,21500000,2540,3
200,3 ,21500000,2540,3
201,3 ,15000000,1765,3
202,3 ,15000000,1765,3
203,3 ,16100000,1895,3
204,3 ,16100000,1895,3
205,3 ,11600000,1635,3
206,3 ,11600000,1635,3
207,3 ,16000000,2255,3
208,3 ,16000000,2255,3
209,3 ,11600000,1635,3
210,3 ,11600000,1635,3
211,3 ,16000000,2255,3
212,3 ,16000000,2255,3
213,2 ,9406000,1325,3
214,2 ,9406000,1325,3
215,3 ,13700000,1935,3
216,3 ,13700000,1935,3
217,3 ,13000000,1965,3
218,3 ,11000000,1640,3
219,3 ,11000000,1640,3
220,2 ,9016000,1320,3
221,2 ,9016000,1320,3
222,2 ,8984000,1315,3
223,2 ,8984000,1315,3
224,3 ,11700000,1750,3
225,3 ,11700000,1750,3
226,3 ,13000000,1955,3
227,3 ,13000000,1955,3
228,3 ,12100000,1820,3
229,3 ,12100000,1820,3
230,3 ,13000000,1960,3
231,3 ,13000000,1960,3
232,3 ,14100000,2140,3
233,3 ,14100000,2140,3
234,3 ,13899999,2100,3
235,3 ,13899999,2100,3
236,3 ,10800000,1610,3
237,3 ,10800000,1610,3
238,2 ,9614000,1415,3
239,2 ,9614000,1415,3
240,3 ,12900000,1945,3
241,3 ,12900000,1945,3
242,3 ,13600000,2060,3
243,3 ,13600000,2060,3
244,2 ,9457000,1390,3
245,2 ,9457000,1390,3
246,3 ,13600000,2055,3
247,3 ,13600000,2055,3
248,3 ,12000000,1795,3
249,3 ,12000000,1795,3
250,3 ,11500000,1725,3
251,3 ,11500000,1725,3
252,0,3402000,1701,0
253,0,5400000,2700,0
254,0,3960000,1980,0
255,0,3420000,1710,0
256,0,9000000,4500,0
257,0,4500000,2250,0
258,0,8100000,4050,0
259,2 ,7334000,1310,3
260,2 ,6970000,1245,3
261,2 ,6970000,1245,3
262,3 ,8818000,1575,3
263,3 ,8818000,1575,3
264,3 ,9546000,1705,3
265,3 ,9546000,1705,3
266,2 ,7390000,1320,3
267,2 ,7390000,1320,3
268,2 ,5906000,1055,3
269,2 ,5906000,1055,3
270,3 ,9574000,1710,3
271,3 ,9574000,1710,3
272,2 ,7362000,1315,3
273,2 ,7362000,1315,3
274,2 ,7614000,1360,3
275,2 ,7614000,1360,3
276,3 ,9854000,1760,3
277,3 ,9854000,1760,3
278,3 ,9350000,1670,3
279,3 ,9350000,1670,3
280,2 ,7138000,1275,3
281,2 ,7138000,1275,3
282,2 ,6773999,1210,3
283,2 ,6773999,1210,3
284,3 ,9742000,1740,3
285,3 ,9742000,1740,3
286,3 ,10100000,1810,3
287,3 ,10100000,1810,3
288,3 ,10100000,1815,3
289,3 ,10100000,1815,3
290,2 ,7166000,1280,3
291,2 ,7166000,1280,3
292,2 ,7054000,1260,3
293,2 ,7054000,1260,3
294,3 ,10000000,1790,3
295,3 ,10000000,1790,3
296,2 ,7109999,1270,3
297,2 ,7109999,1270,3
298,3 ,9658000,1725,3
299,3 ,9658000,1725,3
300,3 ,10400000,1865,3
301,3 ,10400000,1865,3
302,2 ,7081999,1265,3
303,2 ,7081999,1265,3
304,3 ,15500000,2400,3
305,3 ,16399999,2525,3
306,3 ,15500000,2395,3
307,3 ,13600000,2095,3
308,3 ,16100000,2485,3
309,3 ,15300000,2360,3
310,3 ,17100000,2640,3
311,3 ,13000000,2010,3
312,3 ,16000000,2465,3
313,3 ,12900000,1990,3
314,3 ,14300000,2210,3
315,2 ,5500000,1060,3
316,2 ,5200000,1110,3
317,2 ,5300000,1110,1
318,2 ,5300000,1185,1
319,2 ,5300000,1125,3
320,2 ,3700000,1000,1
321,2 ,5300000,1185,1
322,2 ,3500000,1000,1
323,2 ,3700000,1000,1
324,2 ,5400000,1195,1
325,2 ,3700000,1000,1
326,2 ,3700000,1000,1
327,2 ,3700000,1000,1
328,2 ,5200000,1100,1
329,3 ,15500000,2524,3
330,2 ,5300000,1100,1
331,2 ,4400000,1150,1
332,3 ,16700000,2370,1
333,2 ,6100000,1130,1
334,2 ,6800000,1150,1
335,2 ,6850000,1220,1
336,2 ,5200000,1100,1
337,3 ,13000000,2455,3
338,3 ,9829000,1855,3
339,3 ,9829000,1855,3
340,3 ,8769000,1655,3
341,3 ,8769000,1655,3
342,4 ,73500000,6125,3
343,4 ,73200000,6105,3
344,2 ,5600000,1110,1
345,2 ,5736000,1195,1
346,3 ,11000000,2000,1
347,2 ,6018000,1060,1
348,2 ,9940000,1800,1
349,3 ,6650000,1600,1
350,2 ,6200000,1125,1
351,2 ,5500000,1165,1
