,no_bhk,price,area,cons_stats
0,3 ,6598000,1571 ,Under Construction
1,4 ,14800000,1930 ,Under Construction
2,4 ,29900000,4157 ,Under Construction
3,4 ,40800000,3400 ,Under Construction
4,4 ,17500000,3183 ,Under Construction
5,4 ,14000000,2701 ,Under Construction
6,4 ,35200000,4706 ,Under Construction
7,4 ,43099999,5080 ,Under Construction
8,3 ,14200000,2150 ,Under Construction
9,Residential Plot,6300000,3150 ,New
10,2 ,7334000,1310 ,Under Construction
11,3 ,16500000,2550 ,Under Construction
12,3 ,11399999,2155 ,Under Construction
13,3 ,10800000,1965 ,Under Construction
14,3 ,9494000,1775 ,Under Construction
15,3 ,7473000,1410 ,Under Construction
16,2 ,8515000,1310 ,Under Construction
17,3 ,14400000,1905 ,Under Construction
18,2 ,6820999,1312 ,Under Construction
19,2 ,5685000,1210 ,Under Construction
20,3 ,13400000,2200 ,Under Construction
21,3 ,10200000,1902 ,Under Construction
22,3 ,10000000,1670 ,Under Construction
23,3 ,10900000,2187 ,Under Construction
24,3 ,8000000,1047 ,Ready to move
25,4 ,40900000,6300 ,Under Construction
26,3 ,9984000,1636 ,Under Construction
27,Residential Plot,4899000,2403 ,New
28,3 ,5787000,1378 ,Under Construction
29,4 ,16399999,2130 ,Under Construction
30,4 ,32599999,4540 ,Under Construction
31,4 ,40800000,3400 ,Under Construction
32,4 ,17500000,3183 ,Under Construction
33,4 ,15900000,3060 ,Under Construction
34,3 ,17600000,2350 ,Under Construction
35,4 ,43099999,5080 ,Under Construction
36,3 ,13000000,1965 ,Under Construction
37,Residential Plot,7200000,3600 ,New
38,2 ,7334000,1310 ,Under Construction
39,3 ,13200000,2040 ,Under Construction
40,3 ,11399999,2155 ,Under Construction
41,3 ,10800000,1965 ,Under Construction
42,3 ,9494000,1775 ,Under Construction
43,2 ,5035000,950 ,Under Construction
44,3 ,15200000,2345 ,Under Construction
45,3 ,14400000,1905 ,Under Construction
46,2 ,6820999,1312 ,Under Construction
47,3 ,6931000,1475 ,Under Construction
48,3 ,13300000,2195 ,Under Construction
49,2 ,8154000,1510 ,Under Construction
50,3 ,14800000,2485 ,Under Construction
51,2 ,5083000,1017 ,Under Construction
52,1 ,4800000,610 ,Ready to move
53,4 ,40900000,6300 ,Under Construction
54,3 ,9423000,1509 ,Under Construction
55,Residential Plot,9781000,4797 ,New
56,2 ,4687000,1116 ,Under Construction
57,4 ,17700000,2300 ,Under Construction
58,4 ,32500000,4524 ,Under Construction
59,4 ,45199999,3770 ,Under Construction
60,4 ,27700000,5037 ,Under Construction
61,4 ,35200000,4706 ,Under Construction
62,3 ,17300000,2040 ,Under Construction
63,3 ,14200000,2150 ,Under Construction
64,Residential Plot,3600000,1800 ,New
65,2 ,7334000,1310 ,Under Construction
66,3 ,15500000,2385 ,Under Construction
67,3 ,13000000,2455 ,Under Construction
68,3 ,10400000,1900 ,Under Construction
69,2 ,6926000,1295 ,Under Construction
70,2 ,4982000,940 ,Under Construction
71,3 ,9977000,1535 ,Under Construction
72,3 ,12900000,1710 ,Under Construction
73,3 ,9581000,1843 ,Under Construction
74,3 ,12900000,2130 ,Under Construction
75,3 ,10200000,1900 ,Under Construction
76,2 ,8086000,1350 ,Under Construction
77,2 ,5893000,1179 ,Under Construction
78,3 ,9499000,1315 ,Ready to move
79,3 ,20800000,3200 ,Under Construction
80,3 ,8935000,1451 ,Under Construction
81,Residential Plot,4899000,2403 ,New
82,Residential Plot,2960000,1665 ,New
83,2 ,6781999,1280 ,Under Construction
84,2 ,5600000,1100 ,Ready to move
85,3 ,15400000,2150 ,Under Construction
86,2 ,3800000,1090 ,Under Construction
87,3 ,4700000,1080 ,Ready to move
88,2 ,6500000,918 ,Under Construction
89,3 ,7950000,1600 ,Ready to move
90,3 ,10300000,1885 ,Under Construction
91,3 ,8175000,1635 ,Ready to move
92,3 ,7500000,600 ,Ready to move
93,4 ,7500000,2000 ,Under Construction
94,4 ,30000000,3161 ,Under Construction
95,4 ,24600000,2695 ,Ready to move
96,2 ,4178000,1100 ,Under Construction
